,title,comment,author,total_replies,upvotes
0,I’ll never get tired of this view.,I dream every single day of getting back. Truly have never been happier than when I was there.,Sultry_Comments,1,3
1,I’ll never get tired of this view.,"I can understand how you feel. I’m from the tropics and we do have a few of the best beaches in the world however the Maldives just gives me a different feeling each time we’re there. Not to sound cheesy but being with someone you truly love and be able to enjoy the majestic beauty of the islands makes it more memorable. 

Like you, not a day goes by that I didn’t wish I was just listening to the serenity and looking out to the vastness of the ocean.",eavevee,0,1
