,title,comment,author,total_replies,upvotes
0,"Since we can share pictures now, I thought I share some pictures here from the book ""Journey through Maldives"" for people actually interested in the local culture and life and younger folks who never seen how the place was 40 years ago.",this is a nice way I learned that we can post pictures now,burgerman000,0,9
1,"Since we can share pictures now, I thought I share some pictures here from the book ""Journey through Maldives"" for people actually interested in the local culture and life and younger folks who never seen how the place was 40 years ago.","Thanks for posting these!  The best bit of visiting Maldives was that our resort did excursions to nearby island villages, and we'd get to walk around, see how everyday life looked, if only for a few hours.  We didn't enjoy how the resorts were sealed off from the rest of the country, and wanted to learn more.  Hopefully we can come back one day and spend more time in Malé and visit other towns.",kazmological,0,6
2,"Since we can share pictures now, I thought I share some pictures here from the book ""Journey through Maldives"" for people actually interested in the local culture and life and younger folks who never seen how the place was 40 years ago.","Ok, I don't know how to edit the post, but to correct a mistake in the caption I wrote 70's instead of 90. The book was published in 1993.",z80lives,0,4
3,"Since we can share pictures now, I thought I share some pictures here from the book ""Journey through Maldives"" for people actually interested in the local culture and life and younger folks who never seen how the place was 40 years ago.",Noice,jjsameer,0,2
4,"Since we can share pictures now, I thought I share some pictures here from the book ""Journey through Maldives"" for people actually interested in the local culture and life and younger folks who never seen how the place was 40 years ago.",Nice!,primary0,0,2
5,"Since we can share pictures now, I thought I share some pictures here from the book ""Journey through Maldives"" for people actually interested in the local culture and life and younger folks who never seen how the place was 40 years ago.",nice to see we can share pictures,PossibilityPowerful,0,2
