,title,comment,author,total_replies,upvotes
0,View from the Sun Island Coffee shop :),Looks amazing! Jealous! What’s the temperature?,thislife_choseme,7,1
1,View from the Sun Island Coffee shop :),Do we really have to stay in one place there as tourists?,juju__eyeball,1,1
2,View from the Sun Island Coffee shop :),Incredible.,IsThatHeresyiSee,0,1
3,View from the Sun Island Coffee shop :),Always around and above 30 degrees celsius 🙂👌,ZexyS,6,1
4,View from the Sun Island Coffee shop :),"Yes if you go to the specific resort. All island is yours. But if you go to the local island, then you can move around from local island to local island. Resorts are much better and unfortunately much more exoensive.",ZexyS,0,1
5,View from the Sun Island Coffee shop :),"That’s pretty warm! 

How do you feel safety wise, USA has this place(Maldives) rated as a high terrorist activity zone.",thislife_choseme,5,1
6,View from the Sun Island Coffee shop :),Lool...no terrorism here 🙂it is much safer than in some parts of NY or LA,ZexyS,4,1
7,View from the Sun Island Coffee shop :),"Good to know. I just check the state departments website and this area is flagged as a level 3 threat, take that for what it’s worth considering the USA itself is rather unsafe for certain groups of people. 

I appreciate your feedback and again, I am super jealous!",thislife_choseme,3,1
8,View from the Sun Island Coffee shop :),"Don't worry, everywhere will seem less threatening from Jan 20th next year",EasyTyler,0,2
9,View from the Sun Island Coffee shop :),I guess it is much safer nowdays in Europe and especially in the Maldives than it is in the US. Hope things settle down. Never been to the US. Hope to visit some day. I live in Europe. Cheers,ZexyS,0,1
10,View from the Sun Island Coffee shop :),"Maldivian here, terrorist activity is significantly low in the Maldives. Even if there is a terror attack, it would be against the government. Maldives has always been a very safe and peaceful place for tourists. Especially the resorts.",Voidvicer,0,0
