,title,comment,author,total_replies,upvotes
0,how I feel today.,My usual Saturday.,primary0,1,6
1,how I feel today.,Same here,unuse1234,0,4
2,how I feel today.,"Me these days cause I have roagaa and it won't leave me....I want a divorce 

Also hope things get better buddy! they say things get easier the more you work at it",burgerman000,2,3
3,how I feel today.,Can I be u,Fenfolhi,0,3
4,how I feel today.,UR GETTING DIVORCED?????????? I have one more month to hang in there 🗿,Fenfolhi,1,2
5,how I feel today.,"YES I WANT TO DIVORCE MY SICKNESS

Oh you're coming back in a month? I mean you've survived til now, you got this!!",burgerman000,0,1
