,title,comment,author,total_replies,upvotes
0,Russian war criminal supporter's super yacht docked in Maldives,"When its time to return the favor, you will be too busy.",,1,4
1,Russian war criminal supporter's super yacht docked in Maldives,Fuck their shit up,,0,2
2,Russian war criminal supporter's super yacht docked in Maldives,That boat looks familiar. Was docked about half a kilometer from where I live 😬,Dangerous_Wasabi016,0,2
3,Russian war criminal supporter's super yacht docked in Maldives,Who gives  a shit. Let th white people take care of it. Not our fucking problem.,q1t0,11,3
4,Russian war criminal supporter's super yacht docked in Maldives,"Nope, at this rate I will be doing anti-air support against Russian invasion within an year. After that I can return favours, I'll pitch in whatever way I can.",taeraeyttaejae,0,1
5,Russian war criminal supporter's super yacht docked in Maldives,You sure seem a real pillar of the community.,taeraeyttaejae,10,4
6,Russian war criminal supporter's super yacht docked in Maldives,I'm sorry since I'm from an uncivilized country and si ce I dont have blond hair and blue eyes I thought my opinion and life doesnt matter.,q1t0,9,2
7,Russian war criminal supporter's super yacht docked in Maldives,"There are a million reasons why this is true. All we white people have ever done is caused shit to people that don't look like us. But DON'T let us destroy whatever is left. I'm not saying you should attack anyone, but be aware that while 99% of us are a source of the problem, these oligarch fuckers have most of us in their control. If there is ANYTHING you can do, big or small please try.",Hot-Life-1828,0,1
8,Russian war criminal supporter's super yacht docked in Maldives,"Don't try to pull a victim card here. If you state that you don't give a shit about a situation that could start world war 3, you just let others know that you and your opinions are trash and color of your skin, your eyes and place where you live doesn't matter at all. You can try to stay away from this issue if you want and let people who care do the rest for you.",taeraeyttaejae,6,0
9,Russian war criminal supporter's super yacht docked in Maldives,"Based af you’re 100% right. Plus do you see how these fucks reacted to India’s non involvement in the whole Ukraine-Russia fiasco? They went off on nazi level racist tangents about south Asian people. 

They ain’t got no love for us brother, glad you see the light, cause they don’t gaf abt us. No one does as a matter of fact.",,0,1
10,Russian war criminal supporter's super yacht docked in Maldives,"We are fucking victims you racist cunt. Within  48hours of Russia invading ukraine USA bombed Somalia and Israel bombed syria. You didnt hear peep about it. Places like poland and hungry are countries just a couple of months ago closed their borders to refugees from the middle east. What Russia is doing to Ukraine is wrong I agree. But they have it so much better than most countries. There are so mnay countries helping ukraine with weapons and allowing all Ukrainian refugees in. There are literally children starving beacuse of the US backed war in yamen. Yet you dont hear about it.  Palestinians are killed every day their homes destroyed where is the outrage. Palestinian children are shot and killed by snipers. Dont come at me saying I cant be a victim beacuse of colour of my skin. I know every well the potential of another world war. Our lives would be much harder than yours. During the last world wars people starved en masse here. Mothers smothered their babies beacuse they couldn't bear to watch them starve to death beacuse their milk dried up beacuse they themselves were starving. That is beacuse of a war we didnt participate in. All you people have done is fuck shit up for people like us. I am outraged at russia for what they did to ukraine the same way I'm outraged and USA, saudi and Israel for their crimes.  But no we I'll not take any sides in this war. Us unclivised folks cant afford to. A brown Palestinian child throws a molotov cocktail at their occupiers, he is a terrorist , a Ukrainian  throws a molotov hes a hero ( which he is) I'm just sick of the double standard, and the power white people have to alter the course of our lives. We cannot afford to make an enemy out of russia. No white country will say a word to defend us, kindly fuck off.",q1t0,5,4
11,Russian war criminal supporter's super yacht docked in Maldives,"And I agree that Israeli occupying Palestinian territory is 100% wrong and some countries should be kicked out from EU as they are total sticks about refugee situations and promote open racism. I've worked in red Cross etc as my day job, just to try to convince you I am not a total dick. 

Still, that Russian oligarch cunts yacht is docked there. I can't burn it down from where I am.",taeraeyttaejae,0,4
12,Russian war criminal supporter's super yacht docked in Maldives,"You are the only one pulling the race card man, I am sorry about that.",taeraeyttaejae,1,2
13,Russian war criminal supporter's super yacht docked in Maldives,Awww poor baby. Always playing the race card instead of doing something about it. Must suck to always blame someone else because you suck at life.,,1,2
14,Russian war criminal supporter's super yacht docked in Maldives,It was called for. I am sorry.,,0,2
15,Russian war criminal supporter's super yacht docked in Maldives,"I'm doing great thanks. I have a great job and live in one of the most beautiful countries in the world. Race card or not the truth Is the truth. Never mind what you people did to us humans, white people have driven so many anmials to extinction. You guys almost drove the bangal tiger and the black buck to extinction during the colonial period in india.",q1t0,0,2
