,title,comment,author,total_replies,upvotes
0,Maldives Tourism/Travel Questions 2021 Megathread,"A couple questions:

1. How much would (approximately) the ""unlimited data"" SIM cost in Male airport?
2. What is a ""good tip"" for hotel staff, to get on their better side :) ?",ozyri,5,4
1,Maldives Tourism/Travel Questions 2021 Megathread,Do you have any advise about the new travel restrictions due to the new variant. I’m traveling from India to male,Boinga5689,4,2
2,Maldives Tourism/Travel Questions 2021 Megathread,"We want USD to tip the waiter at the resort, is it possible to get it at the airport or should we get it before?",scarface02x,1,2
3,Maldives Tourism/Travel Questions 2021 Megathread,"Hi Faru,

 Probably overthinking this, but what is accepted as booking confirmation for the accomodation/resort at Border Control?

We have an itinerary outlining dates of our stay and an email from the resort confirming that they're expecting us. Does this suffice or is a formal confirmation from our travel agent required? It is a bank holiday in the UK tomorrow and the travel agent will reopen after our arrival.

Thank you",Blocoholi,1,2
4,Maldives Tourism/Travel Questions 2021 Megathread,"Thanks for this post! Do people wear masks on the local islands like Maafushi? Especially with the new variant being more transmissible. If we test positive before leaving Maldives, is it a mandatory 14 day quarantine at the hotel? And finally how much is the PCR cost if we are staying at Maafushi?",kangf,2,1
5,Maldives Tourism/Travel Questions 2021 Megathread,How hard is it to get hashish around the resorts?,Moz3011,4,1
6,Maldives Tourism/Travel Questions 2021 Megathread,Are you allowed to visit local islands now? When we were there back in April it was *strictly* prohibited.,Leodw45,2,1
7,Maldives Tourism/Travel Questions 2021 Megathread,"Where are you getting the 72 hour info from? Both the official website and our resort say 96 hours:

""The sample for the said test must be taken not more than 96 hours prior to the scheduled time of departure from the first port of embarkation en route to the Maldives.""",flutterfly28,3,1
8,Maldives Tourism/Travel Questions 2021 Megathread,Thank you for this post. It'll be VERY helpful!,stryker213,0,1
9,Maldives Tourism/Travel Questions 2021 Megathread,I'm flying in a few weeks. Worried as the weather says cloudy. I was told the weather is pristine in December! Ergh I should have done more research,Spicy_McJoJo,2,1
10,Maldives Tourism/Travel Questions 2021 Megathread,"Really good post, Faru! I didn't know about the 72 hours PCR at departure, I only thought it was a requirement at arrival.
We are staying in Malé for 1 night before flying back to Denmark - do you know where we can do a PCR test, which is cheap in Malé? The resort charge 130 USD per person, which I think is outrageous, as it should be free from the government..",TheBurningDude123,4,1
11,Maldives Tourism/Travel Questions 2021 Megathread,"Thanks alot for the info @frhnwunderkid !

Question (sorry if i sound a lil desperate): what are my chances in finding discounts or offers from hotels? Whats the best time to visit Maldives ? I really want to take my wife out there after marriage but limited by budget. Would appreciate any info you can throw my way 🙂",omer_arshad,2,1
12,Maldives Tourism/Travel Questions 2021 Megathread,So I got my Covid test yesterday but it was a TMA and not PCR which I didn’t realize. Is this acceptable?,AK-11,0,1
13,Maldives Tourism/Travel Questions 2021 Megathread,Have a question about the PCR test - is a saliva PCR test allowed? Thanks!,mochicken,0,1
14,Maldives Tourism/Travel Questions 2021 Megathread,Is there a travel season or time of year you recommend?,ichosethisasmyname,4,1
15,Maldives Tourism/Travel Questions 2021 Megathread,Is diazepam illegal? Take it bc I don’t love to fly. Helps with jitters.,LegalFollowing9053,1,1
16,Maldives Tourism/Travel Questions 2021 Megathread,I am about to move to the Maldives for work. Is a DBS check good enough for the visa or do I require a full police report?,starlinkNFT,2,1
