,title,comment,author,total_replies,upvotes
0,Hidden spot in Phase 2 deosnt even look like it belongs in Maldives,Somewhere only we know (8),Maakanaa,0,5
1,Hidden spot in Phase 2 deosnt even look like it belongs in Maldives,Not hidden it’s right next to lovers hill lol,Fenfolhi,0,3
2,Hidden spot in Phase 2 deosnt even look like it belongs in Maldives,Beautiful shot  🫶🏾,burgerman000,1,2
3,Hidden spot in Phase 2 deosnt even look like it belongs in Maldives,Damn man this is amazing.,CarelessNightingale,0,2
4,Hidden spot in Phase 2 deosnt even look like it belongs in Maldives,MashaAllah,boppam,0,2
5,Hidden spot in Phase 2 deosnt even look like it belongs in Maldives,P2 ah vadheveytha now,STORMCHASER_MVD,1,1
6,Hidden spot in Phase 2 deosnt even look like it belongs in Maldives,🤩,uumidontknow,0,1
7,Hidden spot in Phase 2 deosnt even look like it belongs in Maldives,damn please unhide,munziiiir,0,1
8,Hidden spot in Phase 2 deosnt even look like it belongs in Maldives,thanks,PossibilityPowerful,0,2
9,Hidden spot in Phase 2 deosnt even look like it belongs in Maldives,it has been open for years i think,PossibilityPowerful,0,3
