,title,comment,author,total_replies,upvotes
0,Maldivian short eats (hedhikaa) platter. Can you name them all?,"Sweet: Dhonkeyo kaju (if that's what they are called), roas paan, zileybee, fen folhi, bis follhi. I have limited knowledge of folhis.


Kulhi: Okkeemiyaa, biskeemiyaa, kavaabu, masroshi, masroshi joints/cigars, patties, fihunu patties, some new non Maldivian hotdog keemiyaa, bajiyaa, gulha. There are two things that I don't the difference between in there and do not know the name of one of them. Some kind of fihunu keemiyaa?


Missing:
Types of boakibaa and Sri Lankan inspired stuff like cutlets and rolls.",primary0,0,8
1,Maldivian short eats (hedhikaa) platter. Can you name them all?,"They just like Pokémon fr 
Gotta catch ‘em all",bananaboatflipper,0,7
2,Maldivian short eats (hedhikaa) platter. Can you name them all?,"Available at Spice Hut, Carnival Area every evening 4 - 6",caramelpuddin,0,5
3,Maldivian short eats (hedhikaa) platter. Can you name them all?,Mithaa ginain huri folhi,azurebluejam,0,5
4,Maldivian short eats (hedhikaa) platter. Can you name them all?,Now I'm hungry 😔,z80lives,0,3
5,Maldivian short eats (hedhikaa) platter. Can you name them all?,"Masroshi, sausage rolls, havaadhulee bis, buscutlets, bajiya, patties, bis keemiya, kavaab, riha folhi, rihaakuru folhi, bakedbeans thingie, oh keemiya, cake folhi, roast paan",WorldlyCheesecake55,0,2
6,Maldivian short eats (hedhikaa) platter. Can you name them all?,Bottom right looks like French toast,BigCharlie16,0,2
7,Maldivian short eats (hedhikaa) platter. Can you name them all?,"Kavab,bajiya,masroshi,Gulha,rolls",jeffmishal,0,2
8,Maldivian short eats (hedhikaa) platter. Can you name them all?,"As a dhivehi living overseas, this hurts!",IAmNotAmusedAnymore,0,2
9,Maldivian short eats (hedhikaa) platter. Can you name them all?,tuna,starlinkNFT,0,0
