,title,comment,author,total_replies,upvotes
0,Crazy weather. Passed just as fast as it showed up. Not before blowing my husband’s sun-shirt into oblivion though 😕,We were right in there 😁,TheResistance01,0,1
1,Crazy weather. Passed just as fast as it showed up. Not before blowing my husband’s sun-shirt into oblivion though 😕,"man that looks nasty, but the colors are even better during a storm sometimes",Mister20seven,0,1
2,Crazy weather. Passed just as fast as it showed up. Not before blowing my husband’s sun-shirt into oblivion though 😕,Monsoon!,sofierylala,0,1
