,title,comment,author,total_replies,upvotes
0,Wouldn't it be funny?,They probably are,stxirs,3,5
1,Wouldn't it be funny?,lol. I'm pretty sure they are. ping u/primary0 and u/xayan123 and ask them. I've seen them post here but not as often.,z80lives,1,3
2,Wouldn't it be funny?,Maldivians all of us. I created this sub and let it be whatever it becomes. Here we are now and it became a tourism sub. Let it be and change on its own.,primary0,0,3
3,Wouldn't it be funny?,That would be the most Maldivian thing; get an expat to do the job 🤣,Bykadelik,1,4
4,Wouldn't it be funny?,We're all about tourism aren't we?,CarelessNightingale,2,2
5,Wouldn't it be funny?,"Haha, you are too funny. All the mods of /r/maldives are maldivians, including me. 😄",xayan123,7,2
6,Wouldn't it be funny?,Hahah no we all Maldivians here.,primary0,1,2
7,Wouldn't it be funny?,a plot twist 😂,burgerman000,0,1
8,Wouldn't it be funny?,Here daily. Not just posting too much.,primary0,0,2
9,Wouldn't it be funny?,haha when you say it like that.....😂,burgerman000,0,2
10,Wouldn't it be funny?,Apparently so! I remember seeing someone on here say that we wouldn't exist if it weren't for tourism,burgerman000,1,1
11,Wouldn't it be funny?,This sub is organic. I created this years ago and let it be without an agenda or any rules (except spam protection). It is what it is today and I think it's a good thing. Let me know if any change is needed.,primary0,5,2
12,Wouldn't it be funny?,"sorry dude, had a conspiracy moment 🫠",burgerman000,0,2
13,Wouldn't it be funny?,"went with the whole conspiracy route in my head, sorry about that lol",burgerman000,0,1
14,Wouldn't it be funny?,"It's true, but we're way too dependent on tourism. The government likes to say their working on economic diversification, but I've yet to see any sort of diversification.",CarelessNightingale,0,4
15,Wouldn't it be funny?,"what was the ""thing"" that happened that made you guys make this place without image posting or polls?

what exactly happened? was it like meme spam or ?",burgerman000,4,1
16,Wouldn't it be funny?,Spam. Ads. Lots of it,primary0,3,2
17,Wouldn't it be funny?,Lots of Ads? like Rice cooker and badhige saamaan vihkaa meehun?,burgerman000,2,1
18,Wouldn't it be funny?,Tourism ads. Packages and special  offers and YouTube promoting agencies,primary0,1,2
19,Wouldn't it be funny?,"oh is there like no bots or something that can detect this stuff and put em away? 

or just give them some sort of megathread? at least for the tourism ads! I mean might be useful for the tourists on here",burgerman000,0,1
