,title,comment,author,total_replies,upvotes
0,"A photo taken on a local island, circa 1990s",Nice photos 😀👌🏻👌🏻👌🏻,aneesu401,1,3
1,"A photo taken on a local island, circa 1990s",You own a lovely collection of the old Maldives,,2,2
2,"A photo taken on a local island, circa 1990s",[deleted],,1,3
3,"A photo taken on a local island, circa 1990s",Great😍 collection 👌🏻👌🏻👌🏻👌🏻,aneesu401,0,1
4,"A photo taken on a local island, circa 1990s",Thanks. This was taken by my parents.,sofierylala,0,2
5,"A photo taken on a local island, circa 1990s",Thank you! All from my childhood growing up there,sofierylala,1,2
6,"A photo taken on a local island, circa 1990s",Dhoa,sofierylala,0,2
7,"A photo taken on a local island, circa 1990s",Beautiful!,,0,2
