,title,comment,author,total_replies,upvotes
0,😡,"OMG imagine how many sharks were killed for this, my heart breaks.",,4,5
1,😡,"Something that's been going on for a while. It's very surprising to see this is actually a polarising issue though, some ppl actually seem to be in favour of this! Actually it's not very surprising. This is the Maldives after all",CLICKMVSTER,8,5
2,😡,"Absolutely nothing happened when the Chinese workers in Maldives did this around 2016 or 2017. But they weren't caught red-handed like this. 

Maldives didn't even ban shark fishing before 2020. It was a 10-year blanket restriction on a number of atolls set in 1998. Luckily there's a new regulation that came into force in August this year, and hopefully the Prosecutor General's Office can do something this time.",paradiserythm,0,5
3,😡,This shit makes my blood boil 🤬🤬🤬🤬🤬,skylizard666,0,4
4,😡,Shit like this makes me believe people deserve the bad things that happen to them :/,MoodyEncounter,0,3
5,😡,Hama all for some soup,KaylaInANushell,0,2
6,😡,F**k China,celkemtypek,0,2
7,😡,Not killed most of the time they cut off the fins and let them go whitch is even worse cause then they cant swim properly and will probably starve to death,zakman29,2,7
8,😡,"Dho, so sick",sofierylala,0,3
9,😡,There’s people in favour of this?!? Asluves?? Who,sofierylala,7,2
10,😡,"Yes, I know, so practically killed just in a more cruel way.",,1,2
11,😡,"ya, sharks are annoying cuz they been eating half of everything ppl catch and they are also expensive and people be broke these days",CLICKMVSTER,6,0
12,😡,Its basically torture,zakman29,0,1
13,😡,"Doing long term damage to the ecosystem because you're ""broke"" is going to make the entire country broke sooner or later lol. What a stupid excuse.",Minatorix,3,9
14,😡,"Sharks are essential for reefs and costal oceans . Without sharks to eat big fish, the big fish will eat all the small fish that help clean the reefs. Long story short if sharks dissappear ALL THE REEFS WILL DIE.",SuperThug7,0,3
15,😡,"Shark are very important for the sea, killing them does alot of damage to the whole sealife",,0,1
16,😡,ya well tell that to the people fishing the sharks up not me,CLICKMVSTER,2,2
17,😡,Whats the use cutting those fins?,Ok-Negotiation1191,1,1
18,😡,"fins only expensive part of shark, easier to store etc, usually they fish em up chop the fins off and throw the corpses back into the ocean",CLICKMVSTER,0,1
