,title,comment,author,total_replies,upvotes
0,Aerial view of the Movenpick Maldives Hotel (Wikimedia Commons),Any idea on cost for this hotel? Any price changes since Covid-19?,Rodeobe,0,2
1,Aerial view of the Movenpick Maldives Hotel (Wikimedia Commons),"I remember when Mövenpick was just a small ice cream parlour at the airport, lol.",sofierylala,0,2
2,Aerial view of the Movenpick Maldives Hotel (Wikimedia Commons),"I’m curious to know too, I’ve been looking at tons of hotels and it doesn’t look like there are that many good deals.",thislife_choseme,2,1
3,Aerial view of the Movenpick Maldives Hotel (Wikimedia Commons),end up finding one? still not finding any deals on my end,Lolsmileyface13,1,1
4,Aerial view of the Movenpick Maldives Hotel (Wikimedia Commons),"Nope. Still checking travelzoo often just haven’t pulled the trigger. 

Sun siyam olhuvei so far has the best AI deal from my research.",thislife_choseme,0,1
